playlist,videoTitle,description,duration
Introduction to Statistics and Data Analysis,Bayesian Linear Regression and Maximum Likelihood Estimates,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:19:15
Introduction to Statistics and Data Analysis,Bayesian Linear Regression and Maximum a Posteriori (MAP) Estimate,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:15:17
Introduction to Statistics and Data Analysis,Bayesian Linear Regression [Python Example],"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:16:46
Probability Bootcamp,Probability and Statistics: Overview,"This is the introductory overview video in a new series on Probability and Statistics!  Probability and Statistics are cornerstones of modern data science and machine learning, and this short course will rapidly cover all of the basics and get into advanced topics.  The course is roughly structured into four parts: Introduction to Probability (5 hours), Introduction to Statistics (5 hours), Advanced Probability (5 hours), and Advanced Statistics (5 hours).  Special thanks to Dr. John Quintanilla from the University of North Texas for his inspiring lectures that first got me excited about Probability and Statistics!  Thanks Dr. Q!  This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 02:22 Applications of Probability 08:07 Divination and the History of Randomness and Complexity 10:30 Randomness and Uncertainty? 12:26 Defining Probability and Statistics 14:51 Outline of Topics: Introduction 16:36 Random Variables, Functions, and Distributions 22:30 Expected Value, Standard Deviation, and Variance 23:52 Central Limit Theorem 25:54 Preview of Statistics",00:29:43
Probability Bootcamp,Gentle Introduction to Probability: Counting Coin Flips and Dice,"This video provides a simple introduction to probability, starting with the basic idea of counting random events.  We will use random coin flips and dice rolls to illustrate these concepts.  Interestingly, neither coin flips or dice rolls are actually random, but there is enough uncertainty in their motion that to us humans, they appear random.  This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 02:27 Example Problem: Coin Flips 07:40 Example Problem: Dice Rolls 13:08 What is Random 18:12 Parting Thoughts/Outro (Probability vs Statistics)",00:20:05
Probability Bootcamp,Counting Probabilities with Combinatorics and the Factorial,"Here we describe some of the most useful concepts in probability: combinatorics and the factorial.  We will be able to count how many ways a certain event can happen, such as how many ways I can get 5 heads in 10 coin flips, and how many 5 card hands can I deal off of a 52 car deck.  We will discuss sampling with and without replacement, and the various formulas to compute these probabilities.      This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 02:26 Order Matters: Coin Flips 05:54 No Replacement: Poker Hands 09:10 The Factorial in Probability 10:32 Generalized Order Matters Formulas/Formulae 12:16 Order Agnostic Formula and Permutation 15:21 Example Exercise: License Plates 17:18 Outro",00:17:50
Probability Bootcamp,Set Theory in Probability: Sample Spaces and Events,"Here we briefly introduce the fundamental concepts of set theory which is used to formalize the notion of sample and event spaces in probability.  We discuss the union, intersection, and complement of a set, with examples.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:52 Defining the Sample Space 05:09 Example: Coin Flips 06:02 Events as Subsets 08:17 Set Operations for Probability 15:18 Probability as a Measure 17:54 Axioms of Probability 20:38 Basic Derivations 22:14 Outro",00:24:13
Probability Bootcamp,The Birthday Problem in Probability: P(A) = 1 - P(not A),"The birthday problem is fun and surprisingly challenging: How many people need to be in a room before the probability that two people share the same birthday is at least 50%?  To solve this problem, we find that it is much easier to compute 1 minus the probability that two people *don't* share a birthday.  This idea will be very useful in other problems.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 02:29 Brute Force Comparisons 04:44 Brute Force Complications 06:18 The Easy Way 07:58 Why the Complement 10:01 Calculating the Complement 14:23 Homework: Computing the Complement 15:58 Warning: Factorials are Big 18:08 Outro",00:20:21
Probability Bootcamp,"Quality Control, Non-Destructive Inspection, and the Multinomial Distribution","Here we introduce a relevant example of the multinomial distribution: quality control and non-destructive inspection.  If we test a sub-sample of size ""r"" and measure ""m"" defective items, what can we say about the reliability of the overall batch?  This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 02:23 Defining Sample Groups 03:28 Counting the Sample Space 06:13 Counting m-defective Events 10:14 Generalizing: The Multinomial Distribution 11:55 Outro",00:13:30
Probability Bootcamp,The Binomial Distribution and the Multinomial Distribution,"Here we introduce the binomial distribution, which is one of the most important distributions in all of probability.  It will be the basis of the Normal distribution and the Poisson distribution.  The binomial distribution quantifies the probability of getting ""r"" successes in ""n"" Bernoulli trials.  For example, the probability of getting 5 heads in 10 coin flips is Binomially distributed. We also introduce the more general multinomial distribution.   This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:25 Binomial Coefficients 07:34 Defining the Multinomial Distribution 10:39 Proving the Formula 14:33 Outro",00:16:32
Probability Bootcamp,Conditional Probabilities,"Conditional probability is a central idea, where we compute the probability of an event ""A"" occurring given that we also have information about an event ""B"" occurring.  For example, if I roll a fair dice, event ""A"" might be that I roll a 6 and event ""B"" might be that I roll higher than a 3.  If someone tells me that ""B"" definitely occurred, then it changes the probability of ""A"", now that I know that ""B"" is true.  This will be a fundamental concept when we develop Bayesian statistics.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:56 Defining P(A|B) 04:52 Example: Dice 06:37 Example: Cards 08:42 Example: Cancer Screening 11:19 Inference & Outro",00:13:11
Probability Bootcamp,The Law of Total Probability,"The law of total probability essentially states that the probabilities of all possible disjoint events must sum to one.  Said another way, ""something must happen"".  This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 00:52 The Multiplication Law 02:17 Introducing The Law of Total Probability 05:45 Example: Cards 07:45 Outro",00:10:13
Probability Bootcamp,Bayes' Theorem (with Example!),"Bayes' Theorem is one of the most central ideas in all of probability and statistics, and is one of the primary perspectives in modern machine learning too.  This video gently introduces the simple concept of Bayes' theorem, including defining the posterior, prior, and update.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 02:48 Introducing Bayes' Theorem 04:54 Defining Posterior, Prior, and Update 08:07 Bayes' Theorem without P(A) 09:26 Generalizing Bayes' Theorem 11:06 Example: Cancer Screening 17:10 Outro",00:17:43
Probability Bootcamp,Bayes' Theorem Example: Drug Testing 🌿,"This video provides a simple example of how to use Bayes' theorem for drug screening.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:14 Problem Statement 03:14 Calculating P(Use | positive) 07:12 Sensitivity vs Specificity 11:43 Outro",00:12:32
Probability Bootcamp,Independence in Probability,"Independence is another important concept in probability that tells if two events ""A"" and ""B"" depend on each other.  Examples of independent events would be ""A"" drawing a Queen from a deck of cards, and ""B"" drawing a spade.  These don't affect each other at all, and knowing one doesn't change the probability of the other.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:17 Formal Definition 04:08 Example: Cards 08:05 Reliability 12:22 Outro",00:13:00
Probability Bootcamp,Random Variables and Probability Distributions,"This video introduces the notion of a random variable ""X"".  Random variables are similar to standard variables in calculus, except they have a probability that follows a distribution, like a Gaussian.  Random variables are a key abstraction that will allow us to bring powerful tools from calculus and analysis to probability and statistics.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 00:48 Example: # of Coin Flips 05:40 Plotting Random Variables 08:16 Formal Definition 10:00 Distributions of Random Variables 14:04 Why Random Variables 20:59 Outro",00:21:56
Probability Bootcamp,Bernoulli and Binomial Random Variables,"Bernoulli and Binomial random variables are key building blocks for more sophisticated distributions, such as the Normal and Poisson distributions.  A Bernoulli random variable takes one of two values, like a coin flip.  A Binomial random variable is constructed by repeating several Bernoulli random trials; for example, if we flip 10 coins, the number of heads is a Binomial random variable.   This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:12 Defining Bernoulli Variables 05:18 Defining Binomial Variables 11:31 Example: n = 2 15:52 Homework: n = 3 17:54 Homework: Verify Probabilities Sum to 1 19:08 Example: 3 Sixes on 12 Dice Rolls 22:12 Binomial of Large N",00:24:41
Probability Bootcamp,"The Normal Distribution: The Limit of Binomial Distribution for Large ""n""","The Normal distribution, or ""Gaussian"", is one of the most important probability distributions.  It is the limit of a Binomial distribution for large ""n"" (for a large number of underlying Bernoulli trials). The normal distribution is quite common across statistics, for example to approximate the height of adults in a country.     We will find that the sums of many random variables will often converge to a Normal distribution, according to the central limit theorem, which has broad and sweeping implications in statistics.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:36 Definitions 04:00 Normal of a Given Binomial 07:22 Moving to Code 08:32 Example: n = 100, p = 0.5 10:25 Comparing Graphs 11:17 Visualizing Changes to N 13:38 Visualizing Small p (Poisson Case) 15:59 Outro",00:17:15
Probability Bootcamp,The Standard Unit Normal and Probability Computations,"It is often helpful to work with a ""standard unit normal"" distribution, which is a Gaussian with zero mean and unit standard deviation.  It is possible to transform other normal distributions into this standard form, through a simple mean-centering and scaling procedure, after which it is easy to compute probabilities.  For example, if I want to know what percentile my height is in the USA, I could first transform the normal distribution of heights to standard unit normal, and then see where my transformed height lies.  This will allow me to easily compute various quantities.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 02:53 The Standard Unit Normal 05:57 Defining the CDF 10:24 The Standard Deviation 12:17 Example: 400 Coins 16:09 Outro",00:17:12
Probability Bootcamp,The Poisson Distribution: The Rare Event Limit of a Binomial Distribution,"The Poisson distribution is one of the most important probability distributions, quantifying the probability of rare events occuring.  It is another limit of the binomial distribution, but for low-probability events.       This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:14 When Normal Approximation Fails 03:44 Deriving the Poisson Distribution 09:32 Applying Poisson: Lightbulb Failure 12:03 Outro",00:13:01
Probability Bootcamp,The Geometric Distribution: The First Success of a Bernoulli Distribution,"The geometric distribution is a very intuitive probability density that is also derived from independent Bernoulli.  The geometric distribution quantifies the probability that the first success of a Bernoulli process will occur on the n-th trial.   This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 02:39 Deriving the Geometric Distribution 06:40 Example: At least N die rolls 10:18 Alternate Computation 12:33 Outro",00:12:56
Probability Bootcamp,The Exponential Distribution: Time Between Poisson Events,"The exponential distribution is the probability distribution that quantifies the probability of a given time between Poisson (rare) events.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:09 Defining Exponential Variables 02:22 Continuous Exponential Variables 05:10 Exercises 06:56 Exponential Interval Formula 08:04 The Memoryless Property 09:15 Example: Lightbulb Lifetime 13:40 Example: Radioactive Decay 16:45 Formalizing Memorylessness 18:30 Outro",00:18:46
Probability Bootcamp,The Hazard Rate and Memoryless Property of the Exponential Distribution,"The hazard rate is the instantaneous rate of occurance of a Poisson process, and it is closely related to the exponential distribution.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:44 Defining the Hazard Rate 03:24 Computing the Hazard Rate 04:28 Useful Outfall from the Taylor Series 06:21 Outro",00:07:11
Probability Bootcamp,The Connection Between the Exponential Distribution and the Poisson Process,"The exponential distribution quantifies the probability of the time to the next even in a Poisson process.  For example, the time to the next email (although getting an email is no longer a rare event!)  This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 00:50 Defining our Exponential Event Series 04:20 Events Over an Interval is a Poisson Process 06:10 Example: Time to Next Email 07:49 Example: N Emails in t Minutes 09:55 Outro",00:10:13
Probability Bootcamp,The Gamma Distribution,"The gamma distribution is closely related to the exponential distribution, as it is the waiting time for the r-th event in a Poisson process.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:08 Defining the Gamma Distribution 02:42 (Mostly) Deriving the Gamma Distribution 07:25 Example: Waiting at the DMV",00:12:30
Probability Bootcamp,Functions of a Random Variable,"One of the most important concepts in probability is that of a function of a random variable.  For example, the mean and variance are both functions of a random variable.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 02:06 Notation Refresher 04:12 Function Calculation Overview 05:42 Example: Temperature Conversion 11:43 Outro",00:13:36
Probability Bootcamp,Rescaling the Normal Distribution to Mean Zero and Variance One,"The normal distribution is a cornerstone of probability, especially given that the sum of distributions tends to converge to a normal.  Rescaling a normal distribution with an arbitrary mean and standard deviation to the ""unit normal"" distribution with mean zero and standard deviation 1 is an important step in computing probabilities.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:22 Why Rescale 05:02 Deriving the Normal Rescaling Function 08:50 Outro",00:09:15
Probability Bootcamp,The Chi Squared Distribution: The Square of the Normal Distribution,"Here we introduce the Chi-squared distribution, which is the distribution of Z=X^2 when X is a Gaussian random variable.  Chi squared will be very useful when comparing two distributions in statistics to see if data is consistent with a given distribution.   This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:20 The Chi Squared Distribution 02:40 Calculating the CDF of Chi Squared 06:08 Calculating the PDF of Chi Squared 11:54 Outro",00:13:08
Probability Bootcamp,Joint Probability Distributions,"The joint probability distribution quantifies the joint dependence between two random variables, X and Y.  If these random variables are independent, then P(X=x,Y=y) = P(X=x)P(Y=y).    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:22 Examples & Motivation 09:49 Independence in Joint Distributions 14:02 Outro",00:14:34
Probability Bootcamp,Joint Probability Distributions: Marginal and Conditional Densities,"Here we introduce two distributions derived from the joint PDF: the marginal and conditional densities.  These are especially useful in Bayesian statistics, and also help us bring ideas from Calculus into probability.   This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:40 Defining Marginal Density 05:28 Exercise: Calculate Marginals 06:30 Conditionals in Joint Probability 09:01 Outro",00:09:36
Probability Bootcamp,The Expected Value (Mean) of a Probability Distribution,"The expected value (aka the mean) of a probability distribution is one of the most important functions of a random variable.  The mean can be estimated statistically from data samples and may also be used to compare two distributions.   This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:02 Defining the Expected Value 04:17 Sample Mean & Expected Value 07:25 Misleading Expected Values 08:51 Introducing Moments 10:43 Mode, Mean, and Median 14:40 Outro",00:15:24
Probability Bootcamp,Properties of the Expected Value,"This video explores several important properties of the expected value of a random variable.  For example, the expected value of the product of two independent random variables is the product of their individual expected values.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 00:58 Expectation of Sums 02:05 Expectation of Independent Products 03:13 Expectation of a Function of X 05:48 Deriving Independent Product Property 08:50 Outro",00:10:18
Probability Bootcamp,Variance and Standard Deviation,"Variance and standard deviation measure the spread of a probability distribution, and are very useful quantities in probability and statistics.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 03:00 Defining Variance 04:25 Deriving an Alternate Formulation 09:35 Example: Variance of a Gaussian 10:56 Exercise: Variance is Non-Negative 11:21 Variance of Independent Sums 12:24 Outro",00:12:59
Probability Bootcamp,Example of Computing the Expectation and Variance of an Exponential Distribution,"In this video, we compute the expectation and variance of the simple exponential distribution, to illustrate how these calculations work.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:15 Calculating the Expectation 06:10 Calculating the Variance 08:56 Calculating the Median 11:13 Outro",00:11:58
Probability Bootcamp,"Two Examples of Expected Values & Functions: Temperature in C vs F, and the Kinetic Theory of Gases","Two useful engineering examples of functions of a random variable arise in gas dynamics.  First, we explore the simple conversion of temperature between C and F, and next we explore the temperature as derived from Maxwell's distribution.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 02:00 Expectation of aX + b 05:55 Variance of aX + b 09:15 Expectation of Kinetic Energy 15:10 Outro",00:15:26
Probability Bootcamp,Markov's Inequality in Probability: First Order Estimates,"Here we explore Markov's inequality, one of the most important theoretical results in probability.  Markov's inequality provides a tight bound on the cumulative distribution function in terms of the expected value of a random variable.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:32 Example and Intuition 03:53 Proof of Markov's Inequality 07:22 Outro",00:08:09
Probability Bootcamp,Chebyshev's Inequality in Probability: Second Order Estimates,"Here we explore Chebyshev's inequality, another important theoretical result that provides a bound on the PDF in terms of the variance of a random variable.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:29 Definition: Chebyshev's Inequality 03:35 Proof of Chebyshev's Inequality 07:42 Intuition of Chebyshev's Inequality 08:50 Outro",00:09:44
Probability Bootcamp,The Law of Large Numbers,"This video explores the law of large numbers, which is an important result in probability and provides a baby step towards the cnetral limit theorem.  This is the basis of much of statistical analysis too, saying that the sample mean of a number of i.i.d. random variables will converge to the mean of the individual random variables.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 00:52 Statement of the LoLN 03:18 Formal Definition of LoLN Convergence 05:08 Proof of the LoLN (Informal) 09:04 Proof of the LoLN (Formal) 10:47 Outro",00:12:44
Probability Bootcamp,The Central Limit Theorem,"Here we introduce one of the most important results in probability and statistics: the central limit theorem.  The theorem states that under mild assumptions, the sum of i.i.d. random variables tends to converge to a normal distribution.  This is useful in a number of scenarios including in survey sampling in statistics.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 02:13 Statement of the CLT (Sample Mean) 05:35 Proof of CLT (Sketch) 07:40 Statement of the CLT (Sum of Variables) 09:18 Outro",00:10:57
Probability Bootcamp,The Moment Generating Function,"The moment generating function is an important advanced concept in probability.  Much like functions can be expanded in a Taylor series, probability densities can be expanded in terms of the moment generating function.  The MGF is the Laplace transform of the PDF.  This concept is very useful to prove the central limit theorem.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 00:46 Defining Moments 03:43 Defining the Moment Generating Function 07:12 Statement of Theorem relating MGF to Moment N 10:01 Example: Poisson Distribution 12:57 Example: Normal Distribution 18:00 Example: Exponential Distribution 20:53 Outro",00:21:57
Probability Bootcamp,Example of The Moment Generating Function,"Here we compute the moment generating function for a simple Poisson distribution. This example demonstrates the mechanics of how this might be computed for other distributions.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:27 Proof of MGF relation to Moments 05:55 Example Moment Derivations: Poisson 09:23 Outro",00:09:48
Probability Bootcamp,The Lebesque Measure in Probability,"Here we introduce the Lebesque measure, an important advanced concept in probability for measuring more exotic distributions.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:47 PDF Challenges: Height on the Apps 04:48 Outro",00:06:21
Probability Bootcamp,Additive Property of the Moment Generating Function,"Here we demonstrate the additive property of the moment generating function, which is induced from the fact that the MGF is the Laplace transform of the PDF.  Specifically given two random variables X and Y, with MGFs M_X and M_Y, then the random variable Z = X + Y has MGF M_X * M_Y.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:40 Defining the Additive Property of the MGF 04:02 Thumbnail Proof 05:32 Outro",00:06:18
Probability Bootcamp,Covariance and Correlation in Probability,"The covariance and correlation between two random variables is an important concept in probability and statistics that generalizes to data science and machine learning, especially for higher dimensional systems.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:50 Defining Covariance 03:48 Visual Intuitions of Covariance 08:05 Reformulation of Covariance 11:14 Covariance of Independents is 0 12:08 Covariance 0 is Not Independence 14:13 Additional Properties 16:06 Defining Correlation 17:51 Correlation Over Linear Transforms 18:53 Outro",00:19:34
Probability Bootcamp,Covariance and Correlation: Example with Gaussian Distributions,"Here we explore some simple examples of covariance and correlation of random variables.   This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:48 Example: Gaussian of Independent Variables 03:48 Outro",00:05:29
Probability Bootcamp,The Tail Sum Formula in Probability,"The tail sum formula is a useful formula in probability for computing cumulative distribution functions.   This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 01:30 Defining the Tail Sum Formula 02:43 Proving the Tail Sum Formula 08:14 Outro",00:09:04
Probability Bootcamp,Proof of the Central Limit Theorem,"Here we use the moment generating function to prove the central limit theorem.  This is one of the most important results in probability, and the proof provides deep insight into why it is true.    This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company  %%% CHAPTERS %%% 00:00 Intro 00:51 Formal Statement of the CLT 03:48 Equivalent Statements of the CLT 05:50 Step 1: Equivalence via MGFs 08:20 Step 2: MGF of Sample Mean wrt MGF of X 10:24 Step 3: Taylor Expansion 13:28 Step 4: Normalization Terms in MGF 16:10 Step 5: Normalization Terms in Taylor Expansion 18:11 Step 6: Taking the Limit 20:38 Reviewing the Proof 25:35 Outro",00:26:24
